gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,salary,output
1.0,67.0,1.0,91.0,1.0,1.0,58.0,2.0,0.0,55.0,1.0,58.8,270000.0,1
1.0,79.33,0.0,78.33,1.0,2.0,77.48,2.0,1.0,86.5,0.0,66.28,200000.0,1
1.0,65.0,0.0,68.0,0.0,0.0,64.0,0.0,0.0,75.0,0.0,57.8,250000.0,1
1.0,56.0,0.0,52.0,0.0,2.0,52.0,2.0,0.0,66.0,1.0,59.43,288655.4054054054,0
1.0,85.8,0.0,73.6,0.0,1.0,73.3,0.0,0.0,96.8,0.0,55.5,425000.0,1
1.0,55.0,1.0,49.8,1.0,2.0,67.25,2.0,1.0,55.0,0.0,51.58,288655.4054054054,0
0.0,46.0,1.0,49.2,1.0,1.0,79.0,0.0,0.0,74.28,0.0,53.29,288655.4054054054,0
1.0,82.0,0.0,64.0,0.0,2.0,66.0,2.0,1.0,67.0,0.0,62.14,252000.0,1
1.0,73.0,0.0,79.0,0.0,1.0,72.0,0.0,0.0,91.34,0.0,61.29,231000.0,1
1.0,58.0,0.0,70.0,0.0,1.0,61.0,0.0,0.0,54.0,0.0,52.21,288655.4054054054,0
1.0,58.0,0.0,61.0,0.0,1.0,60.0,0.0,1.0,62.0,1.0,60.85,260000.0,1
1.0,69.6,0.0,68.4,0.0,1.0,78.3,0.0,1.0,60.0,0.0,63.7,250000.0,1
0.0,47.0,0.0,55.0,1.0,2.0,65.0,0.0,0.0,62.0,1.0,65.04,288655.4054054054,0
0.0,77.0,0.0,87.0,0.0,1.0,59.0,0.0,0.0,68.0,0.0,68.63,218000.0,1
1.0,62.0,0.0,47.0,0.0,1.0,50.0,0.0,0.0,76.0,1.0,54.96,288655.4054054054,0
0.0,65.0,0.0,75.0,0.0,1.0,69.0,0.0,1.0,72.0,0.0,64.66,200000.0,1
1.0,63.0,0.0,66.2,0.0,1.0,65.6,0.0,1.0,60.0,0.0,62.54,300000.0,1
0.0,55.0,0.0,67.0,0.0,1.0,64.0,0.0,0.0,60.0,0.0,67.28,288655.4054054054,0
0.0,63.0,0.0,66.0,0.0,1.0,64.0,0.0,0.0,68.0,1.0,64.08,288655.4054054054,0
1.0,60.0,1.0,67.0,1.0,0.0,70.0,0.0,1.0,50.48,0.0,77.89,236000.0,1
1.0,62.0,1.0,65.0,1.0,1.0,66.0,0.0,0.0,50.0,1.0,56.7,265000.0,1
0.0,79.0,1.0,76.0,1.0,1.0,85.0,0.0,0.0,95.0,0.0,69.06,393000.0,1
0.0,69.8,1.0,60.8,1.0,2.0,72.23,2.0,0.0,55.53,1.0,68.81,360000.0,1
0.0,77.4,1.0,60.0,1.0,2.0,64.74,2.0,1.0,92.0,0.0,63.62,300000.0,1
1.0,76.5,1.0,97.7,1.0,2.0,78.86,2.0,0.0,97.4,0.0,74.01,360000.0,1
0.0,52.58,1.0,54.6,0.0,1.0,50.2,0.0,1.0,76.0,0.0,65.33,288655.4054054054,0
1.0,71.0,1.0,79.0,1.0,1.0,66.0,0.0,1.0,94.0,0.0,57.55,240000.0,1
1.0,63.0,1.0,67.0,1.0,1.0,66.0,0.0,0.0,68.0,1.0,57.69,265000.0,1
1.0,76.76,1.0,76.5,1.0,1.0,67.5,0.0,1.0,73.35,0.0,64.15,350000.0,1
1.0,62.0,0.0,67.0,0.0,1.0,58.0,0.0,0.0,77.0,0.0,51.29,288655.4054054054,0
0.0,64.0,0.0,73.5,0.0,1.0,73.0,0.0,0.0,52.0,1.0,56.7,250000.0,1
0.0,67.0,0.0,53.0,0.0,2.0,65.0,2.0,0.0,64.0,1.0,58.32,288655.4054054054,0
0.0,61.0,0.0,81.0,0.0,1.0,66.4,0.0,0.0,50.89,1.0,62.21,278000.0,1
0.0,87.0,1.0,65.0,1.0,2.0,81.0,0.0,1.0,88.0,0.0,72.78,260000.0,1
1.0,62.0,1.0,51.0,1.0,2.0,52.0,1.0,0.0,68.44,1.0,62.77,288655.4054054054,0
0.0,69.0,0.0,78.0,0.0,1.0,72.0,0.0,0.0,71.0,1.0,62.74,300000.0,1
1.0,51.0,0.0,44.0,0.0,1.0,57.0,0.0,0.0,64.0,0.0,51.45,288655.4054054054,0
0.0,79.0,0.0,76.0,0.0,2.0,65.6,2.0,0.0,58.0,1.0,55.47,320000.0,1
0.0,73.0,1.0,58.0,1.0,2.0,66.0,0.0,0.0,53.7,1.0,56.86,240000.0,1
1.0,81.0,1.0,68.0,1.0,2.0,64.0,2.0,0.0,93.0,0.0,62.56,411000.0,1
0.0,78.0,0.0,77.0,1.0,1.0,80.0,0.0,0.0,60.0,0.0,66.72,287000.0,1
0.0,74.0,1.0,63.16,1.0,1.0,65.0,0.0,1.0,65.0,1.0,69.76,288655.4054054054,0
1.0,49.0,1.0,39.0,0.0,2.0,65.0,1.0,0.0,63.0,0.0,51.21,288655.4054054054,0
1.0,87.0,1.0,87.0,1.0,1.0,68.0,0.0,0.0,95.0,1.0,62.9,300000.0,1
0.0,77.0,1.0,73.0,1.0,1.0,81.0,0.0,1.0,89.0,0.0,69.7,200000.0,1
0.0,76.0,0.0,64.0,0.0,2.0,72.0,2.0,0.0,58.0,1.0,66.53,288655.4054054054,0
0.0,70.89,1.0,71.98,1.0,2.0,65.6,0.0,0.0,68.0,1.0,71.63,288655.4054054054,0
1.0,63.0,0.0,60.0,0.0,1.0,57.0,0.0,1.0,78.0,0.0,54.55,204000.0,1
1.0,63.0,1.0,62.0,1.0,1.0,68.0,0.0,0.0,64.0,0.0,62.46,250000.0,1
0.0,50.0,1.0,37.0,1.0,0.0,52.0,1.0,0.0,65.0,1.0,56.11,288655.4054054054,0
0.0,75.2,0.0,73.2,0.0,2.0,68.4,0.0,0.0,65.0,1.0,62.98,200000.0,1
1.0,54.4,0.0,61.12,0.0,1.0,56.2,0.0,0.0,67.0,1.0,62.65,288655.4054054054,0
0.0,40.89,1.0,45.83,1.0,1.0,53.0,0.0,0.0,71.2,1.0,65.49,288655.4054054054,0
1.0,80.0,1.0,70.0,1.0,2.0,72.0,2.0,0.0,87.0,1.0,71.04,450000.0,1
0.0,74.0,0.0,60.0,1.0,2.0,69.0,0.0,0.0,78.0,1.0,65.56,216000.0,1
1.0,60.4,0.0,66.6,1.0,2.0,65.0,0.0,0.0,71.0,1.0,52.71,220000.0,1
1.0,63.0,1.0,71.4,1.0,1.0,61.4,0.0,0.0,68.0,0.0,66.88,240000.0,1
1.0,68.0,0.0,76.0,0.0,1.0,74.0,0.0,0.0,80.0,0.0,63.59,360000.0,1
1.0,74.0,0.0,62.0,1.0,2.0,68.0,0.0,0.0,74.0,0.0,57.99,268000.0,1
1.0,52.6,0.0,65.58,1.0,2.0,72.11,2.0,0.0,57.6,0.0,56.66,265000.0,1
1.0,74.0,0.0,70.0,0.0,2.0,72.0,0.0,1.0,60.0,0.0,57.24,260000.0,1
1.0,84.2,0.0,73.4,0.0,1.0,66.89,0.0,0.0,61.6,0.0,62.48,300000.0,1
0.0,86.5,1.0,64.2,1.0,2.0,67.4,2.0,0.0,59.0,0.0,59.69,240000.0,1
1.0,61.0,1.0,70.0,1.0,1.0,64.0,0.0,0.0,68.5,1.0,59.5,288655.4054054054,0
1.0,80.0,1.0,73.0,1.0,1.0,75.0,0.0,0.0,61.0,0.0,58.78,240000.0,1
1.0,54.0,1.0,47.0,1.0,2.0,57.0,0.0,0.0,89.69,1.0,57.1,288655.4054054054,0
1.0,83.0,1.0,74.0,1.0,2.0,66.0,0.0,0.0,68.92,1.0,58.46,275000.0,1
1.0,80.92,1.0,78.5,1.0,1.0,67.0,0.0,0.0,68.71,0.0,60.99,275000.0,1
0.0,69.7,0.0,47.0,0.0,1.0,72.7,2.0,0.0,79.0,1.0,59.24,288655.4054054054,0
1.0,73.0,0.0,73.0,0.0,2.0,66.0,2.0,1.0,70.0,0.0,68.07,275000.0,1
1.0,82.0,1.0,61.0,1.0,2.0,62.0,2.0,0.0,89.0,0.0,65.45,360000.0,1
1.0,75.0,1.0,70.29,1.0,1.0,71.0,0.0,0.0,95.0,0.0,66.94,240000.0,1
1.0,84.86,1.0,67.0,1.0,2.0,78.0,0.0,0.0,95.5,0.0,68.53,240000.0,1
1.0,64.6,0.0,83.83,1.0,1.0,71.72,0.0,0.0,86.0,0.0,59.75,218000.0,1
1.0,56.6,0.0,64.8,0.0,1.0,70.2,0.0,0.0,84.27,0.0,67.2,336000.0,1
0.0,59.0,0.0,62.0,1.0,1.0,77.5,0.0,0.0,74.0,1.0,67.0,288655.4054054054,0
0.0,66.5,1.0,70.4,0.0,0.0,71.93,0.0,0.0,61.0,0.0,64.27,230000.0,1
1.0,64.0,1.0,80.0,1.0,2.0,65.0,2.0,1.0,69.0,0.0,57.65,500000.0,1
1.0,84.0,1.0,90.9,1.0,2.0,64.5,2.0,0.0,86.04,0.0,59.42,270000.0,1
0.0,69.0,0.0,62.0,0.0,2.0,66.0,2.0,0.0,75.0,1.0,67.99,288655.4054054054,0
0.0,69.0,1.0,62.0,1.0,1.0,69.0,0.0,1.0,67.0,1.0,62.35,240000.0,1
1.0,81.7,1.0,63.0,1.0,2.0,67.0,0.0,1.0,86.0,0.0,70.2,300000.0,1
1.0,63.0,0.0,67.0,0.0,1.0,74.0,0.0,0.0,82.0,0.0,60.44,288655.4054054054,0
1.0,84.0,1.0,79.0,1.0,2.0,68.0,2.0,1.0,84.0,0.0,66.69,300000.0,1
1.0,70.0,0.0,63.0,1.0,2.0,70.0,2.0,1.0,55.0,0.0,62.0,300000.0,1
0.0,83.84,1.0,89.83,1.0,1.0,77.2,0.0,1.0,78.74,0.0,76.18,400000.0,1
1.0,62.0,1.0,63.0,1.0,1.0,64.0,0.0,0.0,67.0,0.0,57.03,220000.0,1
1.0,59.6,0.0,51.0,0.0,2.0,60.0,1.0,0.0,75.0,1.0,59.08,288655.4054054054,0
0.0,66.0,0.0,62.0,0.0,1.0,73.0,0.0,0.0,58.0,1.0,64.36,210000.0,1
0.0,84.0,1.0,75.0,1.0,2.0,69.0,2.0,1.0,62.0,1.0,62.36,210000.0,1
0.0,85.0,1.0,90.0,1.0,1.0,82.0,0.0,0.0,92.0,0.0,68.03,300000.0,1
1.0,52.0,0.0,57.0,0.0,1.0,50.8,0.0,0.0,67.0,1.0,62.79,288655.4054054054,0
0.0,60.23,0.0,69.0,0.0,2.0,66.0,0.0,0.0,72.0,0.0,59.47,230000.0,1
1.0,52.0,0.0,62.0,0.0,1.0,54.0,0.0,0.0,72.0,1.0,55.41,288655.4054054054,0
1.0,58.0,0.0,62.0,0.0,1.0,64.0,0.0,0.0,53.88,0.0,54.97,260000.0,1
1.0,73.0,0.0,78.0,1.0,1.0,65.0,0.0,1.0,95.46,0.0,62.16,420000.0,1
0.0,76.0,0.0,70.0,0.0,2.0,76.0,0.0,1.0,66.0,0.0,64.44,300000.0,1
0.0,70.5,0.0,62.5,1.0,1.0,61.0,0.0,0.0,93.91,0.0,69.03,288655.4054054054,0
0.0,69.0,0.0,73.0,0.0,1.0,65.0,0.0,0.0,70.0,0.0,57.31,220000.0,1
