gender,ssc_p,hsc_p,degree_p,workex,etest_p,mba_p,salary,output
M,67,91,58,No,55,58.8,270000,Placed
M,79.33,78.33,77.48,Yes,86.5,66.28,200000,Placed
M,65,68,64,No,75,57.8,250000,Placed
M,56,52,52,No,66,59.43,,Not Placed
M,85.8,73.6,73.3,No,96.8,55.5,425000,Placed
M,55,49.8,67.25,Yes,55,51.58,,Not Placed
F,46,49.2,79,No,74.28,53.29,,Not Placed
M,82,64,66,Yes,67,62.14,252000,Placed
M,73,79,72,No,91.34,61.29,231000,Placed
M,58,70,61,No,54,52.21,,Not Placed
M,58,61,60,Yes,62,60.85,260000,Placed
M,69.6,68.4,78.3,Yes,60,63.7,250000,Placed
F,47,55,65,No,62,65.04,,Not Placed
F,77,87,59,No,68,68.63,218000,Placed
M,62,47,50,No,76,54.96,,Not Placed
F,65,75,69,Yes,72,64.66,200000,Placed
M,63,66.2,65.6,Yes,60,62.54,300000,Placed
F,55,67,64,No,60,67.28,,Not Placed
F,63,66,64,No,68,64.08,,Not Placed
M,60,67,70,Yes,50.48,77.89,236000,Placed
M,62,65,66,No,50,56.7,265000,Placed
F,79,76,85,No,95,69.06,393000,Placed
F,69.8,60.8,72.23,No,55.53,68.81,360000,Placed
F,77.4,60,64.74,Yes,92,63.62,300000,Placed
M,76.5,97.7,78.86,No,97.4,74.01,360000,Placed
F,52.58,54.6,50.2,Yes,76,65.33,,Not Placed
M,71,79,66,Yes,94,57.55,240000,Placed
M,63,67,66,No,68,57.69,265000,Placed
M,76.76,76.5,67.5,Yes,73.35,64.15,350000,Placed
M,62,67,58,No,77,51.29,,Not Placed
F,64,73.5,73,No,52,56.7,250000,Placed
F,67,53,65,No,64,58.32,,Not Placed
F,61,81,66.4,No,50.89,62.21,278000,Placed
F,87,65,81,Yes,88,72.78,260000,Placed
M,62,51,52,No,68.44,62.77,,Not Placed
F,69,78,72,No,71,62.74,300000,Placed
M,51,44,57,No,64,51.45,,Not Placed
F,79,76,65.6,No,58,55.47,320000,Placed
F,73,58,66,No,53.7,56.86,240000,Placed
M,81,68,64,No,93,62.56,411000,Placed
F,78,77,80,No,60,66.72,287000,Placed
F,74,63.16,65,Yes,65,69.76,,Not Placed
M,49,39,65,No,63,51.21,,Not Placed
M,87,87,68,No,95,62.9,300000,Placed
F,77,73,81,Yes,89,69.7,200000,Placed
F,76,64,72,No,58,66.53,,Not Placed
F,70.89,71.98,65.6,No,68,71.63,,Not Placed
M,63,60,57,Yes,78,54.55,204000,Placed
M,63,62,68,No,64,62.46,250000,Placed
F,50,37,52,No,65,56.11,,Not Placed
F,75.2,73.2,68.4,No,65,62.98,200000,Placed
M,54.4,61.12,56.2,No,67,62.65,,Not Placed
F,40.89,45.83,53,No,71.2,65.49,,Not Placed
M,80,70,72,No,87,71.04,450000,Placed
F,74,60,69,No,78,65.56,216000,Placed
M,60.4,66.6,65,No,71,52.71,220000,Placed
M,63,71.4,61.4,No,68,66.88,240000,Placed
M,68,76,74,No,80,63.59,360000,Placed
M,74,62,68,No,74,57.99,268000,Placed
M,52.6,65.58,72.11,No,57.6,56.66,265000,Placed
M,74,70,72,Yes,60,57.24,260000,Placed
M,84.2,73.4,66.89,No,61.6,62.48,300000,Placed
F,86.5,64.2,67.4,No,59,59.69,240000,Placed
M,61,70,64,No,68.5,59.5,,Not Placed
M,80,73,75,No,61,58.78,240000,Placed
M,54,47,57,No,89.69,57.1,,Not Placed
M,83,74,66,No,68.92,58.46,275000,Placed
M,80.92,78.5,67,No,68.71,60.99,275000,Placed
F,69.7,47,72.7,No,79,59.24,,Not Placed
M,73,73,66,Yes,70,68.07,275000,Placed
M,82,61,62,No,89,65.45,360000,Placed
M,75,70.29,71,No,95,66.94,240000,Placed
M,84.86,67,78,No,95.5,68.53,240000,Placed
M,64.6,83.83,71.72,No,86,59.75,218000,Placed
M,56.6,64.8,70.2,No,84.27,67.2,336000,Placed
F,59,62,77.5,No,74,67,,Not Placed
F,66.5,70.4,71.93,No,61,64.27,230000,Placed
M,64,80,65,Yes,69,57.65,500000,Placed
M,84,90.9,64.5,No,86.04,59.42,270000,Placed
F,69,62,66,No,75,67.99,,Not Placed
F,69,62,69,Yes,67,62.35,240000,Placed
M,81.7,63,67,Yes,86,70.2,300000,Placed
M,63,67,74,No,82,60.44,,Not Placed
M,84,79,68,Yes,84,66.69,300000,Placed
M,70,63,70,Yes,55,62,300000,Placed
F,83.84,89.83,77.2,Yes,78.74,76.18,400000,Placed
M,62,63,64,No,67,57.03,220000,Placed
M,59.6,51,60,No,75,59.08,,Not Placed
F,66,62,73,No,58,64.36,210000,Placed
F,84,75,69,Yes,62,62.36,210000,Placed
F,85,90,82,No,92,68.03,300000,Placed
M,52,57,50.8,No,67,62.79,,Not Placed
F,60.23,69,66,No,72,59.47,230000,Placed
M,52,62,54,No,72,55.41,,Not Placed
M,58,62,64,No,53.88,54.97,260000,Placed
M,73,78,65,Yes,95.46,62.16,420000,Placed
F,76,70,76,Yes,66,64.44,300000,Placed
F,70.5,62.5,61,No,93.91,69.03,,Not Placed
F,69,73,65,No,70,57.31,220000,Placed
M,54,82,63,No,50,59.47,,Not Placed
F,45,57,58,Yes,56.39,64.95,,Not Placed
M,63,72,68,No,78,60.44,380000,Placed
F,77,61,68,Yes,57.5,61.31,300000,Placed
M,73,78,73,Yes,85,65.83,240000,Placed
M,69,63,65,Yes,55,58.23,360000,Placed
M,59,64,58,No,85,55.3,,Not Placed
M,61.08,50,54,No,71,65.69,,Not Placed
M,82,90,83,No,80,73.52,200000,Placed
M,61,82,69,No,84,58.31,300000,Placed
M,52,63,65,Yes,86,56.09,,Not Placed
F,69.5,70,72,No,57.2,54.8,250000,Placed
M,51,54,61,No,60,60.64,,Not Placed
M,58,61,61,No,58,53.94,250000,Placed
F,73.96,79,67,No,72.15,63.08,280000,Placed
M,65,68,69,No,53.7,55.01,250000,Placed
F,73,63,66,No,89,60.5,216000,Placed
M,68.2,72.8,66.6,Yes,96,70.85,300000,Placed
M,77,75,73,No,80,67.05,240000,Placed
M,76,80,78,Yes,97,70.48,276000,Placed
M,60.8,68.4,64.6,Yes,82.66,64.34,940000,Placed
M,58,40,59,No,73,58.81,,Not Placed
F,64,67,69.6,Yes,55.67,71.49,250000,Placed
F,66.5,66.8,69.3,Yes,80.4,71,236000,Placed
M,74,59,73,Yes,60,56.7,240000,Placed
M,67,71,64.33,Yes,64,61.26,250000,Placed
F,84,73,73,No,75,73.33,350000,Placed
F,79,61,75.5,Yes,70,68.2,210000,Placed
F,72,60,69,No,55.5,58.4,250000,Placed
M,80.4,73.4,77.72,Yes,81.2,76.26,400000,Placed
M,76.7,89.7,66,Yes,90,68.55,250000,Placed
M,62,65,60,No,84,64.15,,Not Placed
F,74.9,57,62,Yes,80,60.78,360000,Placed
M,67,68,64,Yes,74.4,53.49,300000,Placed
M,73,64,77,Yes,65,60.98,250000,Placed
F,77.44,92,72,Yes,94,67.13,250000,Placed
F,72,56,69,No,55.6,65.63,200000,Placed
F,47,59,64,No,78,61.58,,Not Placed
M,67,63,72,No,56,60.41,225000,Placed
F,82,64,73,Yes,96,71.77,250000,Placed
M,77,70,59,Yes,58,54.43,220000,Placed
M,65,64.8,69.5,Yes,56,56.94,265000,Placed
M,66,64,60,No,60,61.9,,Not Placed
M,85,60,73.43,Yes,60,61.29,260000,Placed
M,77.67,64.89,70.67,No,89,60.39,300000,Placed
M,52,50,61,No,60,58.52,,Not Placed
M,89.4,65.66,71.25,No,72,63.23,400000,Placed
M,62,63,66,No,85,55.14,233000,Placed
M,70,74,65,No,83,62.28,300000,Placed
F,77,86,56,No,57,64.08,240000,Placed
