sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,output,salary
1,1.0,67.0,1.0,91.0,1.0,1.0,58.0,2.0,0.0,55.0,1.0,58.8,1,270000.0
2,1.0,79.33,0.0,78.33,1.0,2.0,77.48,2.0,1.0,86.5,0.0,66.28,1,200000.0
3,1.0,65.0,0.0,68.0,0.0,0.0,64.0,0.0,0.0,75.0,0.0,57.8,1,250000.0
4,1.0,56.0,0.0,52.0,0.0,2.0,52.0,2.0,0.0,66.0,1.0,59.43,0,288655.4054054054
5,1.0,85.8,0.0,73.6,0.0,1.0,73.3,0.0,0.0,96.8,0.0,55.5,1,425000.0
6,1.0,55.0,1.0,49.8,1.0,2.0,67.25,2.0,1.0,55.0,0.0,51.58,0,288655.4054054054
7,0.0,46.0,1.0,49.2,1.0,1.0,79.0,0.0,0.0,74.28,0.0,53.29,0,288655.4054054054
8,1.0,82.0,0.0,64.0,0.0,2.0,66.0,2.0,1.0,67.0,0.0,62.14,1,252000.0
9,1.0,73.0,0.0,79.0,0.0,1.0,72.0,0.0,0.0,91.34,0.0,61.29,1,231000.0
10,1.0,58.0,0.0,70.0,0.0,1.0,61.0,0.0,0.0,54.0,0.0,52.21,0,288655.4054054054
11,1.0,58.0,0.0,61.0,0.0,1.0,60.0,0.0,1.0,62.0,1.0,60.85,1,260000.0
12,1.0,69.6,0.0,68.4,0.0,1.0,78.3,0.0,1.0,60.0,0.0,63.7,1,250000.0
13,0.0,47.0,0.0,55.0,1.0,2.0,65.0,0.0,0.0,62.0,1.0,65.04,0,288655.4054054054
14,0.0,77.0,0.0,87.0,0.0,1.0,59.0,0.0,0.0,68.0,0.0,68.63,1,218000.0
15,1.0,62.0,0.0,47.0,0.0,1.0,50.0,0.0,0.0,76.0,1.0,54.96,0,288655.4054054054
16,0.0,65.0,0.0,75.0,0.0,1.0,69.0,0.0,1.0,72.0,0.0,64.66,1,200000.0
17,1.0,63.0,0.0,66.2,0.0,1.0,65.6,0.0,1.0,60.0,0.0,62.54,1,300000.0
18,0.0,55.0,0.0,67.0,0.0,1.0,64.0,0.0,0.0,60.0,0.0,67.28,0,288655.4054054054
19,0.0,63.0,0.0,66.0,0.0,1.0,64.0,0.0,0.0,68.0,1.0,64.08,0,288655.4054054054
20,1.0,60.0,1.0,67.0,1.0,0.0,70.0,0.0,1.0,50.48,0.0,77.89,1,236000.0
21,1.0,62.0,1.0,65.0,1.0,1.0,66.0,0.0,0.0,50.0,1.0,56.7,1,265000.0
22,0.0,79.0,1.0,76.0,1.0,1.0,85.0,0.0,0.0,95.0,0.0,69.06,1,393000.0
23,0.0,69.8,1.0,60.8,1.0,2.0,72.23,2.0,0.0,55.53,1.0,68.81,1,360000.0
24,0.0,77.4,1.0,60.0,1.0,2.0,64.74,2.0,1.0,92.0,0.0,63.62,1,300000.0
25,1.0,76.5,1.0,97.7,1.0,2.0,78.86,2.0,0.0,97.4,0.0,74.01,1,360000.0
26,0.0,52.58,1.0,54.6,0.0,1.0,50.2,0.0,1.0,76.0,0.0,65.33,0,288655.4054054054
27,1.0,71.0,1.0,79.0,1.0,1.0,66.0,0.0,1.0,94.0,0.0,57.55,1,240000.0
28,1.0,63.0,1.0,67.0,1.0,1.0,66.0,0.0,0.0,68.0,1.0,57.69,1,265000.0
29,1.0,76.76,1.0,76.5,1.0,1.0,67.5,0.0,1.0,73.35,0.0,64.15,1,350000.0
30,1.0,62.0,0.0,67.0,0.0,1.0,58.0,0.0,0.0,77.0,0.0,51.29,0,288655.4054054054
31,0.0,64.0,0.0,73.5,0.0,1.0,73.0,0.0,0.0,52.0,1.0,56.7,1,250000.0
32,0.0,67.0,0.0,53.0,0.0,2.0,65.0,2.0,0.0,64.0,1.0,58.32,0,288655.4054054054
33,0.0,61.0,0.0,81.0,0.0,1.0,66.4,0.0,0.0,50.89,1.0,62.21,1,278000.0
34,0.0,87.0,1.0,65.0,1.0,2.0,81.0,0.0,1.0,88.0,0.0,72.78,1,260000.0
35,1.0,62.0,1.0,51.0,1.0,2.0,52.0,1.0,0.0,68.44,1.0,62.77,0,288655.4054054054
36,0.0,69.0,0.0,78.0,0.0,1.0,72.0,0.0,0.0,71.0,1.0,62.74,1,300000.0
37,1.0,51.0,0.0,44.0,0.0,1.0,57.0,0.0,0.0,64.0,0.0,51.45,0,288655.4054054054
38,0.0,79.0,0.0,76.0,0.0,2.0,65.6,2.0,0.0,58.0,1.0,55.47,1,320000.0
39,0.0,73.0,1.0,58.0,1.0,2.0,66.0,0.0,0.0,53.7,1.0,56.86,1,240000.0
40,1.0,81.0,1.0,68.0,1.0,2.0,64.0,2.0,0.0,93.0,0.0,62.56,1,411000.0
