mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05676587422688802,0.007090746283503607,0.004812002182006836,0.000570380694897357,1.0,200,2,2,0.01,0.1,0.9,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.9}",1.0,1.0,1.0,1.0,0.0,1
0.05565508206685384,0.013152908740666863,0.006081899007161458,0.0028205796618875475,1.0,100,2,2,0.05,0.1,0.9,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}",1.0,1.0,1.0,1.0,0.0,1
0.05080437660217285,0.015453353163718929,0.005630652109781901,0.0011504517302492665,0.8,100,1,4,0.05,0.2,0.5,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.5}",1.0,1.0,1.0,1.0,0.0,1
0.0823837121327718,0.02387225829182386,0.006480773289998372,0.002626635172823614,0.7,200,1,2,0.01,0.2,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.9}",1.0,1.0,1.0,1.0,0.0,1
0.08394114176432292,0.022989957421076637,0.004878918329874675,0.0026800196177318367,1.0,200,1,3,0.05,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",1.0,0.98,1.0,0.9933333333333333,0.009428090415820642,5
0.04805882771809896,0.010623033693499963,0.003190914789835612,0.0008554016574031099,0.7,100,1,2,0.1,0.0,0.9,"{'subsample': 0.7, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.9}",1.0,0.98,1.0,0.9933333333333333,0.009428090415820642,5
0.08225584030151367,0.012339965084951398,0.004114627838134766,0.00036087485370097944,0.8,200,1,4,0.05,0.2,0.5,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.5}",1.0,0.98,0.98,0.9866666666666667,0.009428090415820642,7
0.07318417231241862,0.01767623179266402,0.0059909820556640625,0.0023991764942384386,0.7,200,1,4,0.1,0.1,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9}",1.0,0.96,0.98,0.98,0.016329931618554536,8
0.044518629709879555,0.010684803590418493,0.003347635269165039,0.0009436751326493576,0.8,100,2,4,0.1,0.1,0.7,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.98,0.98,0.98,0.98,0.0,8
0.05114436149597168,0.011782946871267234,0.004840294520060222,0.0007445647026162319,1.0,100,2,4,0.1,0.2,0.7,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.98,0.98,0.96,0.9733333333333333,0.009428090415820642,10
0.05796964963277181,0.0035656338278337663,0.00395814577738444,8.78919527570192e-05,0.7,200,1,3,0.1,0.0,0.7,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.98,0.96,0.98,0.9733333333333333,0.009428090415820642,10
0.07439700762430827,0.015920366436718375,0.003656148910522461,0.0016745813600289106,0.8,200,2,2,0.05,0.1,0.7,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.98,0.96,0.98,0.9733333333333333,0.009428090415820642,10
0.04627267519632975,0.0038092721137717844,0.0041933854420979815,0.0007831482944939622,1.0,100,1,3,0.01,0.2,0.7,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.98,0.96,0.96,0.9666666666666667,0.009428090415820642,13
0.06651663780212402,0.01872901309943964,0.007572015126546224,0.004238798340318167,0.8,100,1,4,0.01,0.2,0.9,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.9}",1.0,0.96,0.94,0.9666666666666667,0.024944382578492966,13
0.04111631711324056,0.0032431790285387457,0.005563894907633464,0.0020871783220837224,0.8,100,2,3,0.1,0.2,0.5,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.5}",0.98,0.96,0.96,0.9666666666666667,0.009428090415820642,13
