mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.04588166872660319,0.005123716560661423,0.0090943972269694,0.002196630184281208,1.0,100,2,4,0.1,0.2,0.7,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.9917355371900827,1.0,1.0,0.997245179063361,0.003895905130504381,1
0.05310662587483724,0.0006986689392909479,0.008955160776774088,0.001999514536813125,0.8,100,2,3,0.1,0.2,0.5,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.5}",0.9917355371900827,0.9916666666666667,1.0,0.9944674012855831,0.003912239102127609,2
0.09000929196675618,0.005178997831516237,0.010863304138183594,0.0017133229001766923,1.0,200,1,3,0.05,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.9917355371900827,0.9916666666666667,1.0,0.9944674012855831,0.003912239102127609,2
0.054761250813802086,0.006240180652416302,0.01044170061747233,0.0009972144548250298,0.8,100,2,4,0.1,0.1,0.7,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.9917355371900827,0.9916666666666667,1.0,0.9944674012855831,0.003912239102127609,2
0.09778181711832683,0.004354101880784508,0.007862329483032227,0.0004114661703067269,0.7,200,1,2,0.01,0.2,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.9917355371900827,0.9833333333333333,1.0,0.9916896235078053,0.0068042156292556395,5
0.0971664587656657,0.008597583463913388,0.008166869481404623,0.0011726487572606096,0.7,200,2,2,0.05,0.1,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.9917355371900827,0.9833333333333333,1.0,0.9916896235078053,0.0068042156292556395,5
0.04852112134297689,0.0035303401622832323,0.01146086057027181,0.0023747094044340904,0.7,100,1,2,0.1,0.0,0.9,"{'subsample': 0.7, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.9}",0.9917355371900827,0.9833333333333333,1.0,0.9916896235078053,0.0068042156292556395,5
0.08132155736287434,0.005138963489948451,0.01026169459025065,0.002270160200394164,0.7,200,1,3,0.1,0.0,0.7,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.9917355371900827,0.9833333333333333,1.0,0.9916896235078053,0.0068042156292556395,5
0.04964550336201986,0.0018081036112495748,0.008065382639567057,0.001870982163186052,0.7,100,2,4,0.05,0.0,0.9,"{'subsample': 0.7, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.9}",0.9917355371900827,0.9833333333333333,1.0,0.9916896235078053,0.0068042156292556395,5
0.08313576380411784,0.003932653335074903,0.008044878641764322,0.0018792646389704129,0.8,200,2,2,0.05,0.1,0.7,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.9917355371900827,0.9833333333333333,1.0,0.9916896235078053,0.0068042156292556395,5
