vhigh_low,vhigh_med,vhigh_vhigh,vhigh.1_low,vhigh.1_med,vhigh.1_vhigh,2_3,2_4,2_5more,2.1_4,2.1_more,small_med,small_small,low_low,low_med,output
0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2
0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,2
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,2
0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,2
0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,2
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2
0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2
0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,2
0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2
0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2
0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,2
0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2
0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2
0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2
0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,2
0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,2
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2
0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,2
0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,2
0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,2
0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,2
0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2
0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,2
0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,2
0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2
0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,2
0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,2
0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2
0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,2
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,2
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,2
0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2
0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,2
0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,2
0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,2
0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,2
0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,2
0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2
0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,2
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2
0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,2
0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,2
0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,2
0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,2
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2
0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,2
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,2
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,2
