ssc_percentage,hsc_percentage,degree_percentage,emp_test_percentage,mba_percent,gender_M,ssc_board_Others,hsc_board_Others,hsc_subject_Commerce,hsc_subject_Science,undergrad_degree_Others,undergrad_degree_Sci&Tech,work_experience_Yes,specialisation_Mkt&HR,status_Placed
67.0,91.0,58.0,55.0,58.8,1,1,1,1,0,0,1,0,1,1
79.33,78.33,77.48,86.5,66.28,1,0,1,0,1,0,1,1,0,1
65.0,68.0,64.0,75.0,57.8,1,0,0,0,0,0,0,0,0,1
56.0,52.0,52.0,66.0,59.43,1,0,0,0,1,0,1,0,1,0
85.8,73.6,73.3,96.8,55.5,1,0,0,1,0,0,0,0,0,1
55.0,49.8,67.25,55.0,51.58,1,1,1,0,1,0,1,1,0,0
46.0,49.2,79.0,74.28,53.29,0,1,1,1,0,0,0,0,0,0
82.0,64.0,66.0,67.0,62.14,1,0,0,0,1,0,1,1,0,1
73.0,79.0,72.0,91.34,61.29,1,0,0,1,0,0,0,0,0,1
58.0,70.0,61.0,54.0,52.21,1,0,0,1,0,0,0,0,0,0
58.0,61.0,60.0,62.0,60.85,1,0,0,1,0,0,0,1,1,1
69.6,68.4,78.3,60.0,63.7,1,0,0,1,0,0,0,1,0,1
47.0,55.0,65.0,62.0,65.04,0,0,1,0,1,0,0,0,1,0
77.0,87.0,59.0,68.0,68.63,0,0,0,1,0,0,0,0,0,1
62.0,47.0,50.0,76.0,54.96,1,0,0,1,0,0,0,0,1,0
65.0,75.0,69.0,72.0,64.66,0,0,0,1,0,0,0,1,0,1
63.0,66.2,65.6,60.0,62.54,1,0,0,1,0,0,0,1,0,1
55.0,67.0,64.0,60.0,67.28,0,0,0,1,0,0,0,0,0,0
63.0,66.0,64.0,68.0,64.08,0,0,0,1,0,0,0,0,1,0
60.0,67.0,70.0,50.48,77.89,1,1,1,0,0,0,0,1,0,1
62.0,65.0,66.0,50.0,56.7,1,1,1,1,0,0,0,0,1,1
79.0,76.0,85.0,95.0,69.06,0,1,1,1,0,0,0,0,0,1
69.8,60.8,72.23,55.53,68.81,0,1,1,0,1,0,1,0,1,1
77.4,60.0,64.74,92.0,63.62,0,1,1,0,1,0,1,1,0,1
76.5,97.7,78.86,97.4,74.01,1,1,1,0,1,0,1,0,0,1
52.58,54.6,50.2,76.0,65.33,0,1,0,1,0,0,0,1,0,0
71.0,79.0,66.0,94.0,57.55,1,1,1,1,0,0,0,1,0,1
63.0,67.0,66.0,68.0,57.69,1,1,1,1,0,0,0,0,1,1
76.76,76.5,67.5,73.35,64.15,1,1,1,1,0,0,0,1,0,1
62.0,67.0,58.0,77.0,51.29,1,0,0,1,0,0,0,0,0,0
64.0,73.5,73.0,52.0,56.7,0,0,0,1,0,0,0,0,1,1
67.0,53.0,65.0,64.0,58.32,0,0,0,0,1,0,1,0,1,0
61.0,81.0,66.4,50.89,62.21,0,0,0,1,0,0,0,0,1,1
87.0,65.0,81.0,88.0,72.78,0,1,1,0,1,0,0,1,0,1
62.0,51.0,52.0,68.44,62.77,1,1,1,0,1,1,0,0,1,0
69.0,78.0,72.0,71.0,62.74,0,0,0,1,0,0,0,0,1,1
51.0,44.0,57.0,64.0,51.45,1,0,0,1,0,0,0,0,0,0
79.0,76.0,65.6,58.0,55.47,0,0,0,0,1,0,1,0,1,1
73.0,58.0,66.0,53.7,56.86,0,1,1,0,1,0,0,0,1,1
81.0,68.0,64.0,93.0,62.56,1,1,1,0,1,0,1,0,0,1
78.0,77.0,80.0,60.0,66.72,0,0,1,1,0,0,0,0,0,1
74.0,63.16,65.0,65.0,69.76,0,1,1,1,0,0,0,1,1,0
49.0,39.0,65.0,63.0,51.21,1,1,0,0,1,1,0,0,0,0
87.0,87.0,68.0,95.0,62.9,1,1,1,1,0,0,0,0,1,1
77.0,73.0,81.0,89.0,69.7,0,1,1,1,0,0,0,1,0,1
76.0,64.0,72.0,58.0,66.53,0,0,0,0,1,0,1,0,1,0
70.89,71.98,65.6,68.0,71.63,0,1,1,0,1,0,0,0,1,0
63.0,60.0,57.0,78.0,54.55,1,0,0,1,0,0,0,1,0,1
63.0,62.0,68.0,64.0,62.46,1,1,1,1,0,0,0,0,0,1
50.0,37.0,52.0,65.0,56.11,0,1,1,0,0,1,0,0,1,0
75.2,73.2,68.4,65.0,62.98,0,0,0,0,1,0,0,0,1,1
54.4,61.12,56.2,67.0,62.65,1,0,0,1,0,0,0,0,1,0
40.89,45.83,53.0,71.2,65.49,0,1,1,1,0,0,0,0,1,0
80.0,70.0,72.0,87.0,71.04,1,1,1,0,1,0,1,0,1,1
74.0,60.0,69.0,78.0,65.56,0,0,1,0,1,0,0,0,1,1
60.4,66.6,65.0,71.0,52.71,1,0,1,0,1,0,0,0,1,1
63.0,71.4,61.4,68.0,66.88,1,1,1,1,0,0,0,0,0,1
68.0,76.0,74.0,80.0,63.59,1,0,0,1,0,0,0,0,0,1
74.0,62.0,68.0,74.0,57.99,1,0,1,0,1,0,0,0,0,1
52.6,65.58,72.11,57.6,56.66,1,0,1,0,1,0,1,0,0,1
74.0,70.0,72.0,60.0,57.24,1,0,0,0,1,0,0,1,0,1
84.2,73.4,66.89,61.6,62.48,1,0,0,1,0,0,0,0,0,1
86.5,64.2,67.4,59.0,59.69,0,1,1,0,1,0,1,0,0,1
61.0,70.0,64.0,68.5,59.5,1,1,1,1,0,0,0,0,1,0
80.0,73.0,75.0,61.0,58.78,1,1,1,1,0,0,0,0,0,1
54.0,47.0,57.0,89.69,57.1,1,1,1,0,1,0,0,0,1,0
83.0,74.0,66.0,68.92,58.46,1,1,1,0,1,0,0,0,1,1
80.92,78.5,67.0,68.71,60.99,1,1,1,1,0,0,0,0,0,1
69.7,47.0,72.7,79.0,59.24,0,0,0,1,0,0,1,0,1,0
73.0,73.0,66.0,70.0,68.07,1,0,0,0,1,0,1,1,0,1
82.0,61.0,62.0,89.0,65.45,1,1,1,0,1,0,1,0,0,1
75.0,70.29,71.0,95.0,66.94,1,1,1,1,0,0,0,0,0,1
84.86,67.0,78.0,95.5,68.53,1,1,1,0,1,0,0,0,0,1
64.6,83.83,71.72,86.0,59.75,1,0,1,1,0,0,0,0,0,1
56.6,64.8,70.2,84.27,67.2,1,0,0,1,0,0,0,0,0,1
59.0,62.0,77.5,74.0,67.0,0,0,1,1,0,0,0,0,1,0
66.5,70.4,71.93,61.0,64.27,0,1,0,0,0,0,0,0,0,1
64.0,80.0,65.0,69.0,57.65,1,1,1,0,1,0,1,1,0,1
84.0,90.9,64.5,86.04,59.42,1,1,1,0,1,0,1,0,0,1
69.0,62.0,66.0,75.0,67.99,0,0,0,0,1,0,1,0,1,0
69.0,62.0,69.0,67.0,62.35,0,1,1,1,0,0,0,1,1,1
81.7,63.0,67.0,86.0,70.2,1,1,1,0,1,0,0,1,0,1
63.0,67.0,74.0,82.0,60.44,1,0,0,1,0,0,0,0,0,0
84.0,79.0,68.0,84.0,66.69,1,1,1,0,1,0,1,1,0,1
70.0,63.0,70.0,55.0,62.0,1,0,1,0,1,0,1,1,0,1
83.84,89.83,77.2,78.74,76.18,0,1,1,1,0,0,0,1,0,1
62.0,63.0,64.0,67.0,57.03,1,1,1,1,0,0,0,0,0,1
59.6,51.0,60.0,75.0,59.08,1,0,0,0,1,1,0,0,1,0
66.0,62.0,73.0,58.0,64.36,0,0,0,1,0,0,0,0,1,1
84.0,75.0,69.0,62.0,62.36,0,1,1,0,1,0,1,1,1,1
85.0,90.0,82.0,92.0,68.03,0,1,1,1,0,0,0,0,0,1
52.0,57.0,50.8,67.0,62.79,1,0,0,1,0,0,0,0,1,0
60.23,69.0,66.0,72.0,59.47,0,0,0,0,1,0,0,0,0,1
52.0,62.0,54.0,72.0,55.41,1,0,0,1,0,0,0,0,1,0
58.0,62.0,64.0,53.88,54.97,1,0,0,1,0,0,0,0,0,1
73.0,78.0,65.0,95.46,62.16,1,0,1,1,0,0,0,1,0,1
76.0,70.0,76.0,66.0,64.44,0,0,0,0,1,0,0,1,0,1
70.5,62.5,61.0,93.91,69.03,0,0,1,1,0,0,0,0,0,0
69.0,73.0,65.0,70.0,57.31,0,0,0,1,0,0,0,0,0,1
54.0,82.0,63.0,50.0,59.47,1,0,1,1,0,0,1,0,0,0
45.0,57.0,58.0,56.39,64.95,0,1,1,1,0,0,0,1,1,0
63.0,72.0,68.0,78.0,60.44,1,0,0,1,0,0,0,0,1,1
77.0,61.0,68.0,57.5,61.31,0,1,1,1,0,0,0,1,0,1
73.0,78.0,73.0,85.0,65.83,1,0,0,0,1,0,1,1,1,1
69.0,63.0,65.0,55.0,58.23,1,0,1,0,1,0,0,1,1,1
59.0,64.0,58.0,85.0,55.3,1,0,1,0,1,0,1,0,1,0
61.08,50.0,54.0,71.0,65.69,1,1,1,0,1,0,1,0,0,0
82.0,90.0,83.0,80.0,73.52,1,1,1,1,0,0,0,0,1,1
61.0,82.0,69.0,84.0,58.31,1,0,0,1,0,0,0,0,0,1
52.0,63.0,65.0,86.0,56.09,1,0,1,0,1,0,1,1,1,0
69.5,70.0,72.0,57.2,54.8,0,0,0,0,1,0,1,0,1,1
51.0,54.0,61.0,60.0,60.64,1,1,1,0,1,0,1,0,1,0
58.0,61.0,61.0,58.0,53.94,1,1,1,1,0,0,0,0,1,1
73.96,79.0,67.0,72.15,63.08,0,1,1,1,0,0,0,0,0,1
65.0,68.0,69.0,53.7,55.01,1,0,1,0,1,0,0,0,1,1
73.0,63.0,66.0,89.0,60.5,0,1,1,0,1,0,0,0,0,1
68.2,72.8,66.6,96.0,70.85,1,0,0,1,0,0,0,1,0,1
77.0,75.0,73.0,80.0,67.05,1,1,1,0,1,0,1,0,0,1
76.0,80.0,78.0,97.0,70.48,1,0,0,0,1,0,1,1,1,1
60.8,68.4,64.6,82.66,64.34,1,0,0,1,0,0,0,1,0,1
58.0,40.0,59.0,73.0,58.81,1,1,1,0,1,0,0,0,1,0
64.0,67.0,69.6,55.67,71.49,0,0,1,0,1,0,1,1,1,1
66.5,66.8,69.3,80.4,71.0,0,0,0,0,0,0,0,1,0,1
74.0,59.0,73.0,60.0,56.7,1,1,1,1,0,0,0,1,1,1
67.0,71.0,64.33,64.0,61.26,1,0,0,0,1,1,0,1,1,1
84.0,73.0,73.0,75.0,73.33,0,0,0,1,0,0,0,0,0,1
79.0,61.0,75.5,70.0,68.2,0,1,1,0,1,0,1,1,0,1
72.0,60.0,69.0,55.5,58.4,0,1,1,0,1,0,0,0,1,1
80.4,73.4,77.72,81.2,76.26,1,0,0,0,1,0,1,1,1,1
76.7,89.7,66.0,90.0,68.55,1,0,1,1,0,0,0,1,0,1
62.0,65.0,60.0,84.0,64.15,1,0,1,1,0,0,0,0,0,0
74.9,57.0,62.0,80.0,60.78,0,1,1,0,1,1,0,1,0,1
67.0,68.0,64.0,74.4,53.49,1,1,1,1,0,0,0,1,1,1
73.0,64.0,77.0,65.0,60.98,1,0,1,1,0,0,0,1,1,1
77.44,92.0,72.0,94.0,67.13,0,0,1,1,0,0,0,1,0,1
72.0,56.0,69.0,55.6,65.63,0,0,1,0,1,0,0,0,1,1
47.0,59.0,64.0,78.0,61.58,0,0,0,0,0,0,0,0,0,0
67.0,63.0,72.0,56.0,60.41,1,1,0,1,0,0,0,0,1,1
82.0,64.0,73.0,96.0,71.77,0,1,1,0,1,0,1,1,0,1
77.0,70.0,59.0,58.0,54.43,1,0,0,1,0,0,0,1,0,1
65.0,64.8,69.5,56.0,56.94,1,0,1,1,0,0,0,1,0,1
